"","state_node","node_id","layer_id","module","type","k_total","k_m","z_score","c_score","role"
"32",32,26,2,4,"Plant",3,0,-0.810092587300983,0.444444444444444,"peripheral"
"33",33,27,1,3,"Plant",14,6,1.7462565002616,0.775510204081633,"connector"
"34",34,28,1,5,"Plant",10,4,1.60196278953374,0.76,"connector"
"35",35,29,1,1,"Plant",21,8,3.67423461417477,0.793650793650794,"network hub"
"36",36,29,2,1,"Plant",2,1,-0.612372435695794,0.5,"peripheral"
"37",37,30,1,3,"Plant",2,2,-0.194028500029066,0,"peripheral"
"38",38,31,1,14,"Plant",9,3,1.63299316185545,0.790123456790123,"connector"
"39",39,32,1,15,"Plant",13,3,1.29099444873581,0.85207100591716,"connector"
"40",40,33,1,6,"Plant",7,2,1.15470053837925,0.775510204081633,"connector"
"41",41,33,2,2,"Plant",1,1,-0.5,0,"peripheral"
"42",42,34,1,18,"Plant",3,1,NA,0.444444444444444,"peripheral"
"43",43,35,1,13,"Plant",6,3,1.56524758424985,0.666666666666667,"connector"
"44",44,36,1,5,"Plant",7,4,1.60196278953374,0.612244897959184,"peripheral"
"45",45,37,1,12,"Plant",1,1,-0.340801531641259,0,"peripheral"
"46",46,38,1,6,"Pol",8,1,-0.577350269189626,0.84375,"connector"
"47",47,39,1,7,"Pol",2,1,-0.322017583811132,0.5,"peripheral"
"48",48,40,1,3,"Pol",17,7,2.23132775033426,0.788927335640138,"connector"
"49",49,41,1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"50",50,42,1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"51",51,43,1,3,"Pol",2,1,-0.679099750101732,0.5,"peripheral"
"52",52,44,1,10,"Pol",2,1,-0.5,0.5,"peripheral"
"53",53,45,1,6,"Pol",4,1,-0.577350269189626,0.375,"peripheral"
"54",54,46,1,12,"Pol",5,2,0.0757336736980575,0.72,"connector"
"55",55,47,1,4,"Pol",6,1,-0.270030862433661,0.666666666666667,"connector"
"56",56,48,1,16,"Pol",4,1,-0.447213595499958,0.625,"connector"
"57",57,49,1,1,"Pol",5,2,0,0.72,"connector"
"58",58,50,1,1,"Pol",1,1,-0.612372435695794,0,"peripheral"
"59",59,51,1,5,"Pol",3,1,-0.629342524459685,0.666666666666667,"connector"
"60",60,52,1,5,"Pol",1,1,-0.629342524459685,0,"peripheral"
"61",61,53,1,17,"Pol",1,1,-0.408248290463863,0,"peripheral"
"62",62,54,1,14,"Pol",1,1,-0.816496580927726,0,"peripheral"
"63",63,55,1,15,"Pol",3,1,-0.645497224367903,0.666666666666667,"connector"
"64",64,56,1,13,"Pol",6,1,-0.670820393249937,0.777777777777778,"connector"
"65",65,57,1,7,"Pol",2,1,-0.322017583811132,0.5,"peripheral"
"66",66,58,1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"67",67,59,1,7,"Pol",1,1,-0.322017583811132,0,"peripheral"
"68",68,60,1,5,"Pol",17,4,1.60196278953374,0.8719723183391,"connector"
"69",69,61,1,1,"Pol",2,1,-0.612372435695794,0.5,"peripheral"
"70",70,62,1,5,"Pol",2,1,-0.629342524459685,0.5,"peripheral"
"71",71,63,1,8,"Pol",4,1,-0.243975018237133,0.75,"connector"
"72",72,64,1,16,"Pol",5,1,-0.447213595499958,0.72,"connector"
"73",73,65,1,3,"Pol",3,1,-0.679099750101732,0.666666666666667,"connector"
"74",74,66,1,12,"Pol",5,1,-0.340801531641259,0.8,"connector"
"75",75,67,1,8,"Pol",1,1,-0.243975018237133,0,"peripheral"
"76",76,68,1,14,"Pol",7,2,0.408248290463863,0.775510204081633,"connector"
"77",77,69,1,17,"Pol",1,1,-0.408248290463863,0,"peripheral"
"78",78,70,1,11,"Pol",1,1,-0.447213595499958,0,"peripheral"
"79",79,71,1,3,"Pol",17,4,0.776114000116266,0.878892733564014,"connector"
"80",80,72,1,11,"Pol",10,1,-0.447213595499958,0.8,"connector"
"81",81,73,1,5,"Pol",2,1,-0.629342524459685,0.5,"peripheral"
"82",82,74,1,12,"Pol",2,1,-0.340801531641259,0.5,"peripheral"
"83",83,75,1,4,"Pol",7,1,-0.270030862433661,0.857142857142857,"connector"
"84",84,76,1,5,"Pol",1,1,-0.629342524459685,0,"peripheral"
"85",85,77,1,1,"Pol",1,1,-0.612372435695794,0,"peripheral"
"86",86,78,1,14,"Pol",1,1,-0.816496580927726,0,"peripheral"
"87",87,79,1,11,"Pol",1,1,-0.447213595499958,0,"peripheral"
"88",88,80,1,17,"Pol",1,1,-0.408248290463863,0,"peripheral"
"89",89,81,1,16,"Pol",2,1,-0.447213595499958,0.5,"peripheral"
"90",90,82,1,7,"Pol",2,2,0.0644035167622265,0,"peripheral"
"91",91,83,1,12,"Pol",4,1,-0.340801531641259,0.75,"connector"
"92",92,84,1,16,"Pol",3,1,-0.447213595499958,0.666666666666667,"connector"
"93",93,85,1,7,"Pol",7,1,-0.322017583811132,0.693877551020408,"connector"
"94",94,86,1,8,"Pol",1,1,-0.243975018237133,0,"peripheral"
"95",95,87,1,3,"Pol",3,1,-0.679099750101732,0.666666666666667,"connector"
"96",96,88,1,1,"Pol",13,3,0.612372435695794,0.781065088757396,"connector"
"97",97,89,1,10,"Pol",12,1,-0.5,0.847222222222222,"connector"
"98",98,90,1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"99",99,91,1,9,"Pol",3,1,0,0.666666666666667,"connector"
"100",100,92,1,4,"Pol",2,1,-0.270030862433661,0.5,"peripheral"
"101",101,93,1,15,"Pol",2,1,-0.645497224367903,0.5,"peripheral"
"102",102,94,1,15,"Pol",5,3,1.29099444873581,0.56,"peripheral"
"103",103,95,1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"104",104,96,1,3,"Pol",4,4,0.776114000116266,0,"peripheral"
"105",105,97,1,3,"Pol",2,2,-0.194028500029066,0,"peripheral"
"106",106,98,1,7,"Pol",2,1,-0.322017583811132,0.5,"peripheral"
"107",107,99,1,13,"Pol",3,1,-0.670820393249937,0.666666666666667,"connector"
"108",108,100,1,1,"Pol",1,1,-0.612372435695794,0,"peripheral"
"109",109,101,1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"110",110,102,1,12,"Pol",1,1,-0.340801531641259,0,"peripheral"
"111",111,103,1,5,"Pol",7,1,-0.629342524459685,0.816326530612245,"connector"
"112",112,104,1,8,"Pol",2,1,-0.243975018237133,0.5,"peripheral"
"113",113,105,1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"114",114,106,1,18,"Pol",2,1,NA,0.5,"peripheral"
"115",115,107,1,9,"Pol",1,1,0,0,"peripheral"
"116",116,108,1,7,"Pol",2,1,-0.322017583811132,0.5,"peripheral"
"117",117,109,1,14,"Pol",1,1,-0.816496580927726,0,"peripheral"
"118",118,110,1,7,"Pol",1,1,-0.322017583811132,0,"peripheral"
"119",119,111,1,12,"Pol",1,1,-0.340801531641259,0,"peripheral"
"120",120,112,1,17,"Pol",4,1,-0.408248290463863,0.75,"connector"
"121",121,113,1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"122",122,114,1,7,"Pol",3,1,-0.322017583811132,0.666666666666667,"connector"
"123",123,115,1,7,"Pol",1,1,-0.322017583811132,0,"peripheral"
"124",124,116,1,12,"Pol",1,1,-0.340801531641259,0,"peripheral"
"125",125,117,1,4,"Pol",2,1,-0.270030862433661,0.5,"peripheral"
"126",126,118,1,4,"Pol",2,1,-0.270030862433661,0.5,"peripheral"
"127",127,119,1,12,"Pol",1,1,-0.340801531641259,0,"peripheral"
"128",128,120,1,4,"Pol",1,1,-0.270030862433661,0,"peripheral"
"129",129,121,1,1,"Pol",1,1,-0.612372435695794,0,"peripheral"
"130",130,122,1,1,"Pol",1,1,-0.612372435695794,0,"peripheral"
"131",131,123,1,12,"Pol",3,1,-0.340801531641259,0.666666666666667,"connector"
"132",132,124,1,13,"Pol",7,2,0.447213595499958,0.775510204081633,"connector"
"133",133,125,1,1,"Pol",5,2,0,0.72,"connector"
"134",134,126,1,5,"Pol",2,1,-0.629342524459685,0.5,"peripheral"
"135",135,127,1,1,"Pol",2,1,-0.612372435695794,0.5,"peripheral"
"136",136,128,1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"137",137,129,1,10,"Pol",3,1,-0.5,0.666666666666667,"connector"
"138",138,130,1,17,"Pol",3,1,-0.408248290463863,0.444444444444444,"peripheral"
"139",139,131,1,5,"Pol",1,1,-0.629342524459685,0,"peripheral"
"140",140,132,1,11,"Pol",6,1,-0.447213595499958,0.833333333333333,"connector"
"141",141,133,2,1,"Disp",3,2,0,0.444444444444444,"peripheral"
"142",142,134,2,2,"Disp",7,3,1.5,0.693877551020408,"connector"
"143",143,135,2,1,"Disp",6,3,0.612372435695794,0.666666666666667,"connector"
"144",144,136,2,3,"Disp",2,1,-0.679099750101732,0.5,"peripheral"
