"","Treat","state_node","node_id","layer_id","module","type","k_total","k_m","z_score","c_score","role"
"29","NI",29,"Pru_avi",2,3,"Plant",1,1,-0.679099750101732,0,"peripheral"
"30","NI",30,"Pru_vul",1,15,"Plant",2,1,-0.645497224367903,0.5,"peripheral"
"31","NI",31,"Rib_mag",1,4,"Plant",16,6,2.43027776190295,0.734375,"connector"
"32","NI",32,"Rib_mag",2,4,"Plant",3,0,-0.810092587300983,0.444444444444444,"peripheral"
"33","NI",33,"Ros_rub",1,3,"Plant",14,6,1.7462565002616,0.775510204081633,"connector"
"34","NI",34,"Rub_ida",1,5,"Plant",10,4,1.60196278953374,0.76,"connector"
"35","NI",35,"Sch_pat",1,1,"Plant",21,8,3.67423461417477,0.793650793650794,"network hub"
"36","NI",36,"Sch_pat",2,1,"Plant",2,1,-0.612372435695794,0.5,"peripheral"
"37","NI",37,"Sol_nit",1,3,"Plant",2,2,-0.194028500029066,0,"peripheral"
"38","NI",38,"sp_3",1,14,"Plant",9,3,1.63299316185545,0.790123456790123,"connector"
"39","NI",39,"Tar_offi",1,15,"Plant",13,3,1.29099444873581,0.85207100591716,"connector"
"40","NI",40,"Tri_cor",1,6,"Plant",7,2,1.15470053837925,0.775510204081633,"connector"
"41","NI",41,"Tri_cor",2,2,"Plant",1,1,-0.5,0,"peripheral"
"42","NI",42,"Tri_pra",1,18,"Plant",3,1,NA,0.444444444444444,"peripheral"
"43","NI",43,"Val_sp",1,13,"Plant",6,3,1.56524758424985,0.666666666666667,"connector"
"44","NI",44,"Vic_nig",1,5,"Plant",7,4,1.60196278953374,0.612244897959184,"peripheral"
"45","NI",45,"Vio_mac",1,12,"Plant",1,1,-0.340801531641259,0,"peripheral"
"46","NI",46,"Bom_dah",1,6,"Pol",8,1,-0.577350269189626,0.84375,"connector"
"47","NI",47,"Bom_rud",1,7,"Pol",2,1,-0.322017583811132,0.5,"peripheral"
"48","NI",48,"Bom_ter",1,3,"Pol",17,7,2.23132775033426,0.788927335640138,"connector"
"49","NI",49,"Col_sem",1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"50","NI",50,"Mar_rojmarr",1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"51","NI",51,"mosc_culro",1,3,"Pol",2,1,-0.679099750101732,0.5,"peripheral"
"52","NI",52,"Nar_culo_neg",1,10,"Pol",2,1,-0.5,0.5,"peripheral"
"53","NI",53,"Sep_sep",1,6,"Pol",4,1,-0.577350269189626,0.375,"peripheral"
"54","NI",54,"sp1",1,12,"Pol",5,2,0.0757336736980575,0.72,"connector"
"55","NI",55,"sp10",1,4,"Pol",6,1,-0.270030862433661,0.666666666666667,"connector"
"56","NI",56,"sp100",1,16,"Pol",4,1,-0.447213595499958,0.625,"connector"
"57","NI",57,"sp101",1,1,"Pol",5,2,0,0.72,"connector"
"58","NI",58,"sp102",1,1,"Pol",1,1,-0.612372435695794,0,"peripheral"
"59","NI",59,"sp105",1,5,"Pol",3,1,-0.629342524459685,0.666666666666667,"connector"
"60","NI",60,"sp106",1,5,"Pol",1,1,-0.629342524459685,0,"peripheral"
"61","NI",61,"sp107",1,17,"Pol",1,1,-0.408248290463863,0,"peripheral"
"62","NI",62,"sp108",1,14,"Pol",1,1,-0.816496580927726,0,"peripheral"
"63","NI",63,"sp109",1,15,"Pol",3,1,-0.645497224367903,0.666666666666667,"connector"
"64","NI",64,"sp11",1,13,"Pol",6,1,-0.670820393249937,0.777777777777778,"connector"
"65","NI",65,"sp111",1,7,"Pol",2,1,-0.322017583811132,0.5,"peripheral"
"66","NI",66,"sp112",1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"67","NI",67,"sp113",1,7,"Pol",1,1,-0.322017583811132,0,"peripheral"
"68","NI",68,"sp14",1,5,"Pol",17,4,1.60196278953374,0.8719723183391,"connector"
"69","NI",69,"sp15",1,1,"Pol",2,1,-0.612372435695794,0.5,"peripheral"
"70","NI",70,"sp16",1,5,"Pol",2,1,-0.629342524459685,0.5,"peripheral"
"71","NI",71,"sp17",1,8,"Pol",4,1,-0.243975018237133,0.75,"connector"
"72","NI",72,"sp18",1,16,"Pol",5,1,-0.447213595499958,0.72,"connector"
"73","NI",73,"sp19",1,3,"Pol",3,1,-0.679099750101732,0.666666666666667,"connector"
